month,submissions,historical_delta
May-15,8172,0
Jun-15,9217,0
Jul-15,8995,0
Aug-15,7983,0
Sep-15,9318,0
Oct-15,9223,0
Nov-15,9472,0
Dec-15,9376,0
Jan-16,8251,0
Feb-16,9142,0
Mar-16,9746,0
Apr-16,8948,0
May-16,9792,0
Jun-16,9644,0
Jul-16,8911,0
Aug-16,9016,0
Sep-16,9869,0
Oct-16,10100,0
Nov-16,10362,0
Dec-16,9599,0
Jan-17,9186,0
Feb-17,8910,0
Mar-17,11008,0
Apr-17,9029,0
May-17,11194,0
Jun-17,10297,0
Jul-17,9980,0
Aug-17,9854,0
Sep-17,10517,0
Oct-17,11627,0
Nov-17,11589,0
Dec-17,10332,0
Jan-18,10609,0
Feb-18,10593,0
Mar-18,11560,0
Apr-18,11352,0
May-18,12595,0
Jun-18,11568,0
Jul-18,11938,0
Aug-18,10870,0
Sep-18,7762,0
,,
